conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1941716679387705711,2025-07-08 06:27:00+00:00,0,@qrivasi Harga logam strategis seperti emas &amp; nikel melonjak. 3 emiten $TINS $ANTM dan $INCO diuntungkan. Laba bersih tumbuh &gt;100%! Apakah ini euforia sementara atau awal tren jangka panjang. Cek di sini https://t.co/qtRccwlqgX #SahamIndonesia #BursaEfek,1942470453316264258,,qrivasi,in,,0,0,0,https://x.com/undefined/status/1942470453316264258,1675157262355275776,
1942441295676661922,2025-07-08 04:45:05+00:00,7,Yang ini juga sudah bagus setup nya $NCKL $ADMR $TINS Juga sudah bagus sekali setup nya https://t.co/vX0vqxkgWF,1942444805696504019,https://pbs.twimg.com/media/GvTzQWKaYAIlky1.jpg,Gieehad,in,,0,1,0,https://x.com/undefined/status/1942444805696504019,1034308064,
1630772853527445505,2025-07-08 03:52:33+00:00,0,@SahamRakyat Harga logam strategis seperti emas &amp; nikel melonjak. Tiga emiten besar seperti $TINS $ANTM dan $INCO diuntungkan. Laba bersih tumbuh &gt;100%! Apakah ini euforia sementara? Cek analisis lengkapnya: https://t.co/qtRccwkSrp #SahamIndonesia #BursaEfek,1942431585581625441,,SahamRakyat,in,,0,0,0,https://x.com/undefined/status/1942431585581625441,1675157262355275776,
1942413579749355774,2025-07-08 03:29:21+00:00,1,@lahmbohgini @Saham_fess Harga logam strategis seperti emas &amp; nikel melonjak. Tiga emiten besar seperti $TINS $ANTM dan $INCO diuntungkan. Laba bersih tumbuh &gt;100%! Apakah ini euforia sementara atau awal tren jangka panjang? Cek: https://t.co/qtRccwlqgX #SahamIndonesia,1942425747764961594,,lahmbohgini,in,,0,0,0,https://x.com/undefined/status/1942425747764961594,1675157262355275776,
1942034085226147876,2025-07-07 01:33:01+00:00,0,Watchlist JCI stocks market : $AADI $ESSA $TINS $SMRA Masih tunggu momentum : $EMTK $BRIS,1942034085226147876,,,in,,0,0,0,https://x.com/undefined/status/1942034085226147876,3081221059,
1941503820284166446,2025-07-06 05:57:13+00:00,10,Hilirisasi (2) $ADMR $TINS $NCKL $DKFT https://t.co/3vWj2U1Yv4,1941738182686671313,https://pbs.twimg.com/media/GvI7lLzWsAAHChC.jpg,dedewizard19,in,,0,1,0,https://x.com/undefined/status/1941738182686671313,922761748381286400,
1941023204086370690,2025-07-04 13:42:28+00:00,17,$DKFT BA 438 - 490 $TINS BA 1000 - 1060 Breakout segitiga keduanya kenceng. https://t.co/cfkV8vFB2L,1941130494223294589,https://pbs.twimg.com/media/GvBH5X8bQAAmxBp.jpg,Gieehad,in,,1,2,2,https://x.com/undefined/status/1941130494223294589,1034308064,
1940682261437051338,2025-07-03 08:01:21+00:00,28,$TINS setup dotom nya udah menarik besok bullrun harusnya. https://t.co/uTbtpeU35d,1940682261437051338,https://pbs.twimg.com/media/Gu6wOfJXwAAIKRZ.jpg,,in,,0,3,0,https://x.com/undefined/status/1940682261437051338,1034308064,
1940595660908314756,2025-07-03 02:50:42+00:00,3,$DKFT tertahan support ascending triangle deket trenline bolem ambil $TINS setup dotom nya udah bagus Senen terbang semua ini hilirisasi https://t.co/7Uvl8H6Dfm,1940604081573450017,https://pbs.twimg.com/media/Gu5pIIFWsAA3aft.jpg,Gieehad,in,,0,1,0,https://x.com/undefined/status/1940604081573450017,1034308064,
1939526943269085366,2025-06-30 05:00:21+00:00,3,@Gieehad Saya ikut mantau $TINS Anomali menarik harga timah naik harga saham dikasih turun semoga tercermin di Q2 Q3.,1939549543873601768,,Gieehad,in,,0,0,0,https://x.com/undefined/status/1939549543873601768,534098008,
1939526943269085366,2025-06-30 03:33:31+00:00,6,$TINS engulfing kalau belum bsa break Dotom dulu. boleh avd udah ngebase. https://t.co/X7uqwu6KVZ,1939527695173636411,https://pbs.twimg.com/media/GuqWKOoXAAAkkWf.jpg,Gieehad,in,,1,2,0,https://x.com/undefined/status/1939527695173636411,1034308064,
1939241446017839478,2025-06-29 08:50:17+00:00,13,Sama $TINS Week 1 Juli Habis itu geser $ADMR $ANTM week 2-3 nya https://t.co/gaj0zheFXw,1939245021657698571,https://pbs.twimg.com/media/GumVEFRW8AAhU_y.jpg,Gieehad,in,,0,2,0,https://x.com/undefined/status/1939245021657698571,1034308064,
